iteration;2PX;MPX;SMUT;EMUT;LM;LPM
0;0.34013605442176864;0.34013605442176864;0.06802721088435373;0.09977324263038546;0.06802721088435373;0.0839002267573696
1;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
2;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
3;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
4;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
5;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
6;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
7;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
8;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
9;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
10;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
11;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
12;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
13;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
14;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
15;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
16;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
17;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
18;0.34009009009009006;0.3378378378378378;0.06756756756756756;0.10360360360360357;0.06756756756756756;0.08333333333333331
19;0.20488466757123475;0.407055630936228;0.0814111261872456;0.1248303934871099;0.0814111261872456;0.10040705563093624
20;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
21;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
22;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
23;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
24;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
25;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
26;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
27;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
28;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
29;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
30;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
31;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
32;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
33;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
34;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
35;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
36;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
37;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
38;0.25724020442930157;0.25553662691652473;0.10221465076660989;0.15672913117546847;0.10221465076660989;0.12606473594548553
39;0.2435483870967742;0.25967741935483873;0.09677419354838711;0.18387096774193548;0.09677419354838711;0.11935483870967743
40;0.2435483870967742;0.25967741935483873;0.09677419354838711;0.18387096774193548;0.09677419354838711;0.11935483870967743
41;0.2435483870967742;0.25967741935483873;0.09677419354838711;0.18387096774193548;0.09677419354838711;0.11935483870967743
42;0.2435483870967742;0.25967741935483873;0.09677419354838711;0.18387096774193548;0.09677419354838711;0.11935483870967743
43;0.16271551724137934;0.17349137931034483;0.12931034482758622;0.2456896551724138;0.12931034482758622;0.15948275862068967
44;0.16271551724137934;0.17349137931034483;0.12931034482758622;0.2456896551724138;0.12931034482758622;0.15948275862068967
45;0.16271551724137934;0.17349137931034483;0.12931034482758622;0.2456896551724138;0.12931034482758622;0.15948275862068967
46;0.16271551724137934;0.17349137931034483;0.12931034482758622;0.2456896551724138;0.12931034482758622;0.15948275862068967
47;0.15214105793450883;0.16221662468513853;0.12090680100755669;0.2730478589420655;0.12090680100755669;0.1707808564231738
48;0.15214105793450883;0.16221662468513853;0.12090680100755669;0.2730478589420655;0.12090680100755669;0.1707808564231738
49;0.15214105793450883;0.16221662468513853;0.12090680100755669;0.2730478589420655;0.12090680100755669;0.1707808564231738
50;0.15214105793450883;0.16221662468513853;0.12090680100755669;0.2730478589420655;0.12090680100755669;0.1707808564231738
51;0.15214105793450883;0.16221662468513853;0.12090680100755669;0.2730478589420655;0.12090680100755669;0.1707808564231738
52;0.15214105793450883;0.16221662468513853;0.12090680100755669;0.2730478589420655;0.12090680100755669;0.1707808564231738
