pdb_id;len;time;rmsd
6t1z;393;16.282140970230103;28.93048681403592
6uv6;264;8.6541268825531;25.285341881007707
6s44;146;4.378507614135742;18.894114299729928
7d2o;168;4.842469692230225;23.857767566275733
6vqp;8;0.2287125587463379;2.986952770996971
6uf2;125;3.7230443954467773;18.392420410623977
6poo;269;7.991012811660767;36.48263914485731
6vr4;2129;167.109849691391;49.584379336265094
6vn1;584;13.777934789657593;54.31631728168507
6xod;166;2.4333462715148926;18.90003516205892
6y4f;135;1.9304609298706055;22.728542230965907
7m7a;529;12.488917827606201;34.50395113881347
6v4v;139;2.1579782962799072;17.602722739024056
6zyc;148;2.033928632736206;19.38131823721885
6yj1;169;2.7207181453704834;24.998871876124056
7m6b;244;4.1243815422058105;31.9413183626808
7abw;365;8.589500188827515;32.250777360305555
7jtl;101;1.4224581718444824;14.296303397221898
7m5f;116;1.6846883296966553;18.175321811588304
7rej;252;4.196152925491333;26.551038345511298
6r17;56;0.6926937103271484;23.605684881295602
7oc9;133;1.8207824230194092;20.062680244848792
6xn8;539;14.301917791366577;30.68066807002899
7cwp;129;1.9809250831604004;27.790385631806565
6x6o;76;0.9690971374511719;11.775560788128999
7mhu;374;7.907140254974365;27.946472600601957
7k7w;189;3.0963399410247803;26.819274238894756
6ygh;193;3.0589699745178223;24.161467759129195
