,Author,ISBN,Previous Rank,Price,Rank,Title,Weeks on List,Category
63,Raina Telgemeier,9780545540629.0,,10.99,10,Ghosts,,Early & Middle
64,Isabel Allende,9781501178139.0,12.0,28.0,10,In the Midst of Winter,9.0,Hardcover Fiction
65,J.D. Vance,9780062300546.0,14.0,27.99,10,Hillbilly Elegy,70.0,Hardcover Nonfiction
66,Doug Stanton,9781501179952.0,,9.99,10,12 Strong,1.0,Mass Market
67,Fredrik Backman,9781476738024.0,9.0,16.0,10,A Man Called Ove,112.0,Trade Paperback Fiction
68,Robert Moor,9781476739236.0,8.0,16.0,10,On Trails,26.0,Trade Paperback Nonfiction
69,Ruta Sepetys,9780142423622.0,,10.99,10,Salt to the Sea,,Young Adult
70,Katherine Applegate,9781250043221.0,,16.99,11,Wishtree,,Early & Middle
71,Lee Child,9780399593482.0,10.0,28.99,11,The Midnight Line,8.0,Hardcover Fiction
72,David Grann,9780385534246.0,11.0,28.95,11,Killers of the Flower Moon,26.0,Hardcover Nonfiction
73,B.A. Paris,9781250132369.0,,16.99,11,Behind Closed Doors,25.0,Trade Paperback Fiction
74,Harvard Business School Press,9781633690196.0,,24.95,11,HBR's 10 Must Reads on Emotional Intelligence,70.0,Trade Paperback Nonfiction
75,Neal Shusterman,9781442472433.0,,11.99,11,Scythe,,Young Adult
76,R.J. Palacio,9780399559181.0,,9.99,12,365 Days of Wonder: Mr. Browne's Precepts,,Early & Middle
77,Neil Gaiman,9780393609097.0,13.0,25.95,12,Norse Mythology,31.0,Hardcover Fiction
78,Peter Wohlleben,9781771642484.0,10.0,24.95,12,The Hidden Life of Trees,60.0,Hardcover Nonfiction
79,Ann Patchett,9780062491831.0,14.0,16.99,12,Commonwealth,35.0,Trade Paperback Fiction
80,Ron Chernow,9780143034759.0,11.0,20.0,12,Alexander Hamilton,66.0,Trade Paperback Nonfiction
81,Markus Zusak,9780385754729.0,,12.99,12,The Book Thief,,Young Adult
82,Jessica Townsend,9780316508889.0,,17.99,13,Nevermoor: The Trials of Morrigan Crow,,Early & Middle
83,John le Carré,9780735225114.0,15.0,28.0,13,A Legacy of Spies,14.0,Hardcover Fiction
84,Peter Wohlleben,9781771643016.0,12.0,24.95,13,The Inner Life of Animals,7.0,Hardcover Nonfiction
85,Paulette Jiles,9780062409218.0,10.0,15.99,13,News of the World,23.0,Trade Paperback Fiction
86,Harvard Business School Press,9781422157992.0,,24.95,13,HBR's 10 Must Reads on Managing Yourself,50.0,Trade Paperback Nonfiction
87,Veronica Roth,9780062348647.0,,12.99,13,Carve the Mark,,Young Adult
88,Raina Telgemeier,9780545540605.0,,10.99,14,Sisters,,Early & Middle
89,Mary Oliver,9780399563249.0,11.0,30.0,14,Devotions,10.0,Hardcover Fiction
90,Chris Matthews,9781501111860.0,9.0,28.0,14,Bobby Kennedy: A Raging Spirit,9.0,Hardcover Nonfiction
91,Cynthia D'Aprix Sweeney,9780062414229.0,15.0,16.99,14,The Nest,38.0,Trade Paperback Fiction
92,Old Farmer's Almanac,9781571987358.0,10.0,7.95,14,The Old Farmer's Almanac 2018,5.0,Trade Paperback Nonfiction
93,Karen M. McManus,9781524714680.0,,17.99,14,One of Us Is Lying,,Young Adult
94,Pete Souza,9780316514392.0,,21.99,15,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,,Early & Middle
95,Mohsin Hamid,9780735212176.0,,26.0,15,Exit West,10.0,Hardcover Fiction
96,Hillary Rodham Clinton,9781501175565.0,13.0,30.0,15,What Happened,15.0,Hardcover Nonfiction
97,Viet Thanh Nguyen,9780802124944.0,13.0,16.0,15,The Sympathizer,56.0,Trade Paperback Fiction
98,Jennifer Ackerman,9780399563126.0,12.0,17.0,15,The Genius of Birds,31.0,Trade Paperback Nonfiction
99,John Green,9780525428022.0,,19.99,15,Looking for Alaska,,Young Adult
100,Madeleine L'Engle,9781250153272.0,,8.99,1,A Wrinkle in Time,,Early & Middle
101,Jesmyn Ward,9781501126062.0,4.0,26.0,1,"Sing, Unburied, Sing",14.0,Hardcover Fiction
102,Michael Wolff,9781250158062.0,,30.0,1,Fire and Fury: Inside the Trump White House,1.0,Hardcover Nonfiction
103,Lee Child,9780399593598.0,,9.99,1,No Middle Name,1.0,Mass Market
104,Rupi Kaur,9781449474256.0,3.0,14.99,1,Milk and Honey,70.0,Trade Paperback Fiction
105,Jen Sincero,9780762447695.0,1.0,16.0,1,You Are a Badass,129.0,Trade Paperback Nonfiction
106,John Green,9780525555360.0,,19.99,1,Turtles All the Way Down,,Young Adult
107,R.J. Palacio,9781524720193.0,,16.99,2,Wonder,,Early & Middle
108,Amor Towles,9780670026197.0,3.0,27.0,2,A Gentleman in Moscow,70.0,Hardcover Fiction
109,Neil deGrasse Tyson,9780393609394.0,2.0,18.95,2,Astrophysics for People in a Hurry,36.0,Hardcover Nonfiction
110,John Grisham,9781101967683.0,2.0,9.99,2,The Whistler,26.0,Mass Market
111,Min Jin Lee,9781455563920.0,7.0,15.99,2,Pachinko,8.0,Trade Paperback Fiction
