Week,Author,Title,Price,ISBN,Rank,Category
1,Atul Gawande,Being Mortal,16.0,9781250076229.0,2,Trade Paperback Nonfiction
1,Peter Frankopan,The Silk Roads,20.0,9781101912379.0,3,Trade Paperback Nonfiction
1,Douglas Preston,The Lost City of the Monkey God,15.99,9781455540013.0,4,Trade Paperback Nonfiction
1,Michael Lewis,The Undoing Project,16.95,9780393354775.0,5,Trade Paperback Nonfiction
1,Jonah Berger,Invisible Influence,16.0,9781476759739.0,6,Trade Paperback Nonfiction
1,Alexandra Horowitz,Being a Dog,17.0,9781476796024.0,7,Trade Paperback Nonfiction
1,Timothy Snyder,On Tyranny,7.99,9780804190114.0,8,Trade Paperback Nonfiction
1,Doug Stanton,12 Strong: The Declassified True Story of the Horse Soldiers,18.0,9781501178511.0,9,Trade Paperback Nonfiction
1,Robert Moor,On Trails,16.0,9781476739236.0,10,Trade Paperback Nonfiction
1,Harvard Business School Press,HBR's 10 Must Reads on Emotional Intelligence,24.95,9781633690196.0,11,Trade Paperback Nonfiction
1,Ron Chernow,Alexander Hamilton,20.0,9780143034759.0,12,Trade Paperback Nonfiction
1,Harvard Business School Press,HBR's 10 Must Reads on Managing Yourself,24.95,9781422157992.0,13,Trade Paperback Nonfiction
1,Old Farmer's Almanac,The Old Farmer's Almanac 2018,7.95,9781571987358.0,14,Trade Paperback Nonfiction
1,Jennifer Ackerman,The Genius of Birds,17.0,9780399563126.0,15,Trade Paperback Nonfiction
1,John Green,Turtles All the Way Down,19.99,9780525555360.0,1,Young Adult
1,Angie Thomas,The Hate U Give,17.99,9780062498533.0,2,Young Adult
1,Philip Pullman,The Book of Dust: La Belle Sauvage,22.99,9780375815300.0,3,Young Adult
1,Marissa Meyer,Renegades,19.99,9781250044662.0,4,Young Adult
1,Nicola Yoon,"Everything, Everything",10.99,9781524769604.0,5,Young Adult
1,Robin Benway,Far From the Tree,17.99,9780062330628.0,6,Young Adult
1,Marie Lu,Warcross,18.99,9780399547966.0,7,Young Adult
1,Nicola Yoon,The Sun Is Also a Star,18.99,9780553496680.0,8,Young Adult
1,John Green,The Fault in Our Stars,12.99,9780142424179.0,9,Young Adult
1,Ruta Sepetys,Salt to the Sea,10.99,9780142423622.0,10,Young Adult
1,Neal Shusterman,Scythe,11.99,9781442472433.0,11,Young Adult
1,Markus Zusak,The Book Thief,12.99,9780385754729.0,12,Young Adult
1,Veronica Roth,Carve the Mark,12.99,9780062348647.0,13,Young Adult
1,Karen M. McManus,One of Us Is Lying,17.99,9781524714680.0,14,Young Adult
1,John Green,Looking for Alaska,19.99,9780525428022.0,15,Young Adult
2,Madeleine L'Engle,A Wrinkle in Time,8.99,9781250153272.0,1,Early & Middle
2,R.J. Palacio,Wonder,16.99,9781524720193.0,2,Early & Middle
2,R.J. Palacio,Auggie & Me,16.99,9781101934852.0,3,Early & Middle
2,Kelly Barnhill,The Girl Who Drank the Moon,16.95,9781616205676.0,4,Early & Middle
2,Victoria Jamieson,All's Faire in Middle School,12.99,9780525429999.0,5,Early & Middle
2,Raina Telgemeier,Drama,10.99,9780545326995.0,6,Early & Middle
2,Kimberly Brubaker Bradley,The War That Saved My Life,8.99,9780147510488.0,7,Early & Middle
2,Raina Telgemeier,Smile,10.99,9780545132060.0,8,Early & Middle
2,R.J. Palacio,365 Days of Wonder: Mr. Browne's Precepts,9.99,9780399559181.0,9,Early & Middle
2,Raina Telgemeier,Sisters,10.99,9780545540605.0,10,Early & Middle
2,Pete Souza,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,21.99,9780316514392.0,11,Early & Middle
2,Kimberly Brubaker Bradley,The War I Finally Won,16.99,9780525429203.0,12,Early & Middle
2,Katherine Applegate,Wishtree,16.99,9781250043221.0,13,Early & Middle
