original;preprocessed;stemmed;references
Ist die Wissenschaft zu weit gegangen?;ist die wissenschaft zu weit gegangen ;ist die wissenschaft zu weit gegang ;{'ist': ['verfechter', 'vertreter', 'befuerworter', 'aktivist', 'verteidiger', 'apologet', 'herold', 'fuersprecher', 'anwalt', 'ist gleich', 'ergibt', 'sind', 'macht', 'gibt', 'passiert', 'ist los'], 'die': ['fuer jede', 'per', 'à', 'das', 'fuer', 'je', 'pro', 'zu je', 'mikrochip', 'integrated circuit', 'integrierte schaltung', 'ic', 'integrierter schaltkreis', 'microchip', 'festkoerperschaltkreis', 'monolithischer schaltkreis', 'chip', 'diese', 'ebendiese', 'sie', 'jene', 'diese und jene', 'selbige', 'passiv', 'sie', 'sie', 'die da', 'ette'], 'wissenschaft': ['forschung', 'wissen', 'episteme', 'ologie', 'lehre', 'kunde', 'istik'], 'zu': ['nach', 'nach', 'soweit es betrifft', 'bezueglich', 'zur frage', 'hinsichtlich', 'wegen', 'in dingen', 'technisch', 'maeßig', 'in sachen', 'in angelegenheiten', 'im hinblick auf', 'zum thema', 'in bezug auf', 'im wesen', 'in betreff', 'bzgl', 'in fragen', 'betreffend', 'bezogen auf', 'was angeht', 'mit blick auf', 'in puncto', 'von wegen', 'soweit es angeht', 'in hinblick auf', 'was anlangt', 'was anbelangt', 'abgeschlossen', 'verriegelt', 'abgesperrt', 'verschlossen', 'versperrt', 'dicht', 'ueber gebuehr', 'im übermaß', 'allzu', 'ungebuehrlich stark', 'uebertrieben', 'zu stark', 'ueberaus', 'mehr als gut waere', 'unverhaeltnismaeßig', 'unnoetig stark', 'ueber', 'uebermaeßig', 'zu sehr', 'mehr als noetig', 'gesperrt', 'geschlossen', 'dicht', 'dazugehoerig', 'zu diesem punkt', 'zu diesem thema', 'dazu', 'dazugehoerend', 'dazu gehoerend', 'zu dem der den gehoerend', 'diesbezueglich', 'hierzu', 'voll wie eine haubitze', 'abgefuellt', 'stoned', 'hackevoll', 'betrunken', 'bezecht', 'strack', 'blau', 'lattenstramm sein', 'einen ueber den durst getrunken haben', 'voll', 'zu tief ins glas geschaut haben', 'hacke', 'alkoholisiert', 'berauscht', 'fett', 'breit', 'strunz', 'besoffen', 'ein paar glaeser zu viel gehabt haben', 'dicht', 'trunken', 'stoned', 'bekifft', 'druff', 'zugeknallt', 'auf droge', 'zugedroehnt', 'dicht', 'drogenberauscht', 'drauf', 'fuer jeweils', 'zu je', 'zu jeweils', 'à', 'fuer je', 'um', 'ueber die maßen', 'furchtbar', 'verdaechtig', 'unglaublich', 'mehr als', 'auffallend', 'ueberaus', 'uebertrieben', 'arg', 'bis dort hinaus', 'erstaunlich', 'ausnehmend', 'sehr', 'ungemein', 'sehr sehr', 'verdammt', 'allzu', 'bis zum gehtnichtmehr', 'schrecklich', 'ueber', 'schließen', 'zuziehen', 'zumachen', 'dicht', 'zu sitzen', 'blockiert', 'nicht geoeffnet haben', 'zu sein', 'geschlossen haben', 'zu haben', 'vor lauter', 'zu viel', 'zu viel auf einmal', 'auf'], 'weit': ['lang', 'ausgedehnt', 'groß', 'weitlaeufig', 'entfernt', 'fern', 'weitraeumig', 'weithin ausgebreitet', 'großflaechig', 'weithin erstrecken', 'weithin ausbreiten', 'in die tiefe des raumes erstrecken', 'weitlaeufig', 'großzuegig', 'ausgedehnt', 'großraeumig', 'so weit das auge reicht', 'enorm', 'jede menge', 'ziemlich', 'allerhand', 'immens', 'viel', 'haushoch', 'ausnehmend', 'ausgepraegt', 'wesentlich', 'arg', 'erheblich', 'eine gehoerige portion', 'ordentlich was', 'ein geruettelt maß', 'tierisch', 'betraechtlich', 'deutlich', 'sehr', 'makro', 'groß', 'ein gutes stueck', 'um ein vielfaches', 'um einiges', 'erheblich', 'viel', 'bedeutend', 'um laengen', 'um ein mehrfaches', 'um etliches', 'um vieles', 'weitaus', 'betraechtlich', 'um ein vieles', 'schlabbrig', 'wallend', 'locker sitzen', 'locker fallen', 'schlabber'], 'gegang': [], '': ['linke spitze klammer', 'kleiner als zeichen', 'kleiner als', 'in den ern', 'plus', 'ueberschritten haben', 'ab', 'ueber', 'ü', 'jenseits der', 'linke eckige klammer', 'oeffnende eckige klammer', 'et zeichen', 'kaufmanns und', 'kaufmannsund', 'kaufmaennisches und', 'firmen und', 'und zeichen', 'rechte geschweifte klammer', 'schließende geschweifte klammer', 'v h', 'von hundert', 'prozent', 'pro hundert', 'schließende runde klammer', 'klammer zu', 'asteriskus', 'stern', 'sternchen', 'asterisk', 'eur', 'euronen', 'euroletten', 'euro', 'schließende eckige klammer', 'rechte eckige klammer', 'klammer auf', 'oeffnende runde klammer', 'tausendstel', 'pro tausend', 'promille', 'von tausend', 'groeßer als', 'rechte spitze klammer', 'groeßer als zeichen', 'rautenzeichen', 'lattenzaun', 'gartenzaun', 'wiederholungszeichen', 'tilde', 'at', 'klammeraffe', 'affenschwanz', 'affenschaukel', 'affenohr', 'at zeichen', 'dollar', 'in', 'inch', 'zoll', 'fuß', 'im jahre', 'in', 'anno domini', 'im jahr', 'im jahre des herrn', 'anno', 'was haeltst du von', 'gefaellig', 'moechten sie', 'wie waer s mit', 'was halten sie von', 'einfaches anfuehrungszeichen', 'halbes anfuehrungszeichen', 'paragraphenzeichen', 'paragrafenzeichen', 'ueber', 'fuer', 'hindurch', 'lang']}
laut allen auf der party bin ich ansolut bekloppt.... aber hart witzig also ja würd ich sagen;laut allen auf der party bin ich ansolut bekloppt aber hart witzig also ja wuerd ich sagen;laut all auf der party bin ich ansolut bekloppt aber hart witzig also ja wuerd ich sag;{'laut': ['qua', 'gemaeß', 'je nach', 'im sinne', 'getreu', 'in anlehnung an', 'entsprechend', 'zufolge', 'nach', 'laut und deutlich', 'mit kraeftiger stimme', 'weithin hoerbar', 'hoerbar', 'unueberhoerbar', 'ohrenfaellig', 'nicht zu ueberhoeren', 'vernehmlich', 'lautaeußerung', 'ruf', 'phon', 'sprachlaut', 'ton', 'mucks', 'geraeusch', 'zufolge', 'gemaeß', 'nach', 'ausweislich'], 'all': ['kosmos', 'weltall', 'raum', 'weltraum', 'sphaere', 'universum', 'weltenraum'], 'auf': ['stoeßchen', 'in diesem sinne ab in die rinne', 'zum wohl', 'prosit', 'runter damit', 'kippis', 'wohl bekomm s', 'na denn prost', 'proesterchen', 'hoch die tassen', 'wohlsein', 'nich lang schnacken kopp in n nacken', 'prost', 'unversperrt', 'unverschlossen', 'aufgesperrt', 'unverriegelt', 'unabgeschlossen', 'nicht abgeschlossen', 'offen', 'nicht zugeschlossen', 'nicht zugesperrt', 'regional', 'im dialekt', 'dialektal', 'regionaler sprachgebrauch', 'mundartlich', 'aufwaerts', 'hoch', 'hinauf', 'rauf', 'nauf', 'empor', 'nach oben', 'geoeffnet', 'offen', 'offen stehend', 'aufgeklappt', 'aufgesperrt', 'zu'], 'der': ['jener', 'solcher', 'welcher', 'dieser', 'der da', 'er', 'ihmchen'], 'party': ['festivitaet', 'anlass', 'cocktailparty', 'feier', 'fete'], 'bin': [], 'ich': ['ego', 'selbst', 'isch', 'meine wenigkeit', 'ick', 'icke', 'meinereiner', 'i'], 'ansolut': [], 'bekloppt': ['von sinnen', 'narrisch', 'nasch', 'verrueckt', 'geistesgestoert', 'wahnsinnig', 'irre', 'durch den wind', 'ballaballa', 'unter wahnvorstellungen leidend', 'von der rolle', 'psychotisch', 'durchgeknallt', 'irrsinnig', 'jeck', 'unzurechnungsfaehig', 'geisteskrank', 'geistig umnachtet', 'durchgedreht', 'gaga', 'unintelligent', 'weiß nicht was er tut', 'talentfrei', 'dumm', 'ballaballa', 'beknackt', 'saudumm', 'merkbefreit', 'bloed', 'besemmelt', 'unterbelichtet', 'kognitiv herausgefordert', 'minderbemittelt', 'pulver nicht erfunden haben', 'strunzendumm', 'idiotisch', 'bescheuert', 'hohl', 'dumm wie schifferscheiße', 'nicht besonders helle', 'dumm geboren und nichts dazugelernt', 'geistig nicht auf der hoehe', 'dumm dass ihn die gaense beißen', 'selten daemlich', 'daemlich', 'duemmer als die polizei erlaubt', 'strohdumm', 'intellektuell herausgefordert', 'bestusst', 'naturbloed', 'weisheit nicht mit dem schoepfloeffel gegessen haben', 'bedeppert', 'schwachkoepfig', 'saudoof', 'grenzdebil', 'belaemmert', 'nicht gerade helle', 'intellektuell ueberfordert', 'saubloed', 'doof', 'beschruppt', 'haben sie ins gehirn geschissen', 'dumm wie 10 meter feldweg', 'stupide', 'dumm wie bohnenstroh', 'deppert', 'banane', 'weiß nicht was er sagt', 'birnig', 'panne', 'spatzenhirn haben', 'stupid', 'behaemmert', 'strunzdumm', 'weisheit nicht mit loeffeln gegessen haben', 'dumm dass ihn die schweine beißen', 'nicht bis drei zaehlen koennen', 'irrsinnig', 'gehirnamputiert', 'hirnig', 'deppat', 'stroh im kopf', 'zu dumm ein loch in den schnee zu pinkeln', 'nicht bei trost', 'dumm wie brot', 'beißen die schweine im galopp', 'bloede', 'von allen guten geistern verlassen', 'beschraenkt', 'keinen grips im kopf', 'nicht ganz dicht', 'stockdumm', 'strunzdoof'], 'aber': ['trotzdem', 'jedoch', 'nur', 'allein', 'dabei', 'indessen', 'doch', 'indes', 'zwar doch', 'trotz und allem', 'dennoch', 'bloß', 'jedoch', 'demgegenueber', 'wogegen', 'dahingegen', 'im gegensatz dazu', 'hingegen', 'dagegen', 'im unterschied dazu', 'waehrenddessen', 'im gegenteil', 'handkehrum', 'kontraer dazu', 'im kontrast dazu', 'andererseits', 'hinwiederum', 'alldieweil', 'waehrend', 'nur', 'dennoch', 'wohingegen', 'dieweil', 'hinwieder', 'trotzdem', 'schließlich', 'allerdings', 'wenigstens', 'nichtsdestominder', 'zumindest', 'immerhin', 'wie auch immer', 'nichtsdestotrotz', 'jedenfalls', 'ungeachtet dessen', 'trotz alledem', 'indes', 'indessen', 'trotz und allem', 'jedoch', 'dessen ungeachtet', 'davon ab', 'sicher', 'allein', 'zugegeben', 'gleichwohl', 'abgesehen davon', 'was soll ich sagen', 'dies sei zugestanden', 'freilich', 'sicherlich', 'nichtsdestoweniger', 'zugegebenermaßen', 'unbeschadet dessen', 'gewiss', 'abseits dessen'], 'hart': ['kaltherzig', 'hartherzig', 'emotionslos', 'kalt', 'gefuehllos', 'unabweisbar', 'nicht zu leugnen', 'zwingend', 'unwiderlegbar', 'zweifelsfrei', 'untrueglich', 'unangreifbar', 'unwiderleglich', 'unzweifelhaft', 'unanfechtbar', 'nicht wegzudiskutieren', 'nicht zu widerlegen', 'unbestreitbar', 'unbezweifelbar', 'nicht in abrede zu stellen', 'unleugbar', 'steinern', 'eisenhart', 'eisern', 'steinhart', 'hammerhart', 'schockierend', 'streng', 'drastisch', 'einschneidend', 'ultrakrass', 'knallhart', 'herb', 'drakonisch', 'krass', 'rigide', 'heftig', 'rigoros', 'durchgreifend', 'kalkhaltig', 'strikt', 'haare auf den zaehnen haben', 'katonisch', 'unnachsichtig', 'autoritaer', 'streng', 'ist nicht gut kirschen essen', 'ehern', 'knueppelhart', 'standhaft', 'fest', 'knallhart', 'roh', 'grausam', 'wild', 'schmerzlich', 'schlimm', 'schmerzvoll', 'bitter', 'schwer zu ertragen', 'kraftraubend', 'kein zuckerlecken', 'kraeftezehrend', 'kein sonntagsspaziergang', 'anstrengend', 'beschwerlich', 'schwer', 'muehsam', 'schweißtreibend', 'kraftzehrend', 'muehevoll', 'muehselig', 'auszehrend', 'mit muehe verbunden', 'strapazioes', 'erschoepfend', 'ermuedend', 'schlauchend', 'harz', 'fest', 'knueppelhart', 'hart wie kruppstahl', 'bretthart', 'eisenhart', 'steinhart', 'glashart', 'knochenhart', 'stahlhart', 'hart wie beton', 'heftig', 'vehement', 'erbittert', 'verbissen', 'scharf', 'massiv', 'hitzig', 'im schweiße meines angesichts', 'sauer', 'mit muehe und plage'], 'witzig': ['mit witz', 'blitzgescheit', 'vigilant', 'pfiffig', 'findig', 'geistreich', 'originell', 'humorig', 'ulkig', 'urkomisch', 'belustigend', 'komisch', 'goettlich', 'scherzhaft', 'spaßig', 'lustig', 'aeußerst komisch', 'amuesant', 'humoristisch', 'humorvoll', 'launig', 'lustig', 'scherzhaft', 'spaßig', 'froehlich', 'humorig', 'schelmisch', 'bruellend komisch', 'zum bruellen komisch', 'saukomisch', 'zum kaputtlachen', 'zum schießen', 'zum schreien', 'zum totlachen', 'aeußerst komisch', 'rasend komisch', 'irrsinnig komisch'], 'also': ['d h', 'id est', 'damit soll gesagt werden', 'das soll besagen', 'soll heißen', 'das bedeutet', 'will sagen', 'daraus folgt', 'naemlich', 'scilicet', 'das heißt', 'daraus ergibt sich', 'i e', 'sprich', 'sc', 'insofern', 'infolgedessen', 'demnach', 'in der konsequenz', 'deshalb', 'danach', 'mithin', 'dadurch', 'nach dem', 'folglich', 'nachdem', 'ergo', 'somit', 'dementsprechend', 'demzufolge', 'daraufhin', 'in der folge', 'resultierend daraus', 'demgemaeß', 'als folge dessen', 'naemlich', 'wegen dem dass', 'mithin', 'denn', 'ergo', 'da obendrein', 'da', 'wo', 'alldieweil', 'weil', 'insofern', 'nachdem', 'da ja', 'also hoer mal', 'also wirklich', 'nein wirklich', 'war das noetig', 'also nein', 'also sowas', 'leute gibt s', 'musste das sein', 'also echt', 'muss das sein', 'wie kann man nur', 'och mensch', 'so', 'und jetzt zurueck zu', 'und jetzt zu'], 'ja': ['wie', 'sowie', 'ja sogar', 'und', 'neben', 'sowohl', 'wie noch', 'plus', 'sowohl als auch', 'nebst', 'zuzueglich', 'ebenso wie', 'wie auch', 'schließlich', 'wenn sogar', 'umso mehr als', 'wo sogar', 'da ja', 'wo schließlich', 'da', 'wo doch', 'da naemlich', 'sintemalen', 'doch mit verb subj davor', 'literarisch', 'naemlich', 'umso weniger als', 'zumal da', 'zumal ja', 'umso eher als', 'denn', 'zumal', 'wo ja', 'sintemal', 'woll', 'oder nicht', 'etwa nicht', 'naech', 'nicht wahr', 'he', 'nicht', 'gell', 'was', 'gelle', 'oder', 'nae', 'wa', 'gelt', 'stimmt s', 'korrekt', 'ja genau', 'hundertprozentig', 'roger', 'da sagen sie was', 'stimmt genau', 'absolut', 'aber ja', 'aber sicher', 'positiv', 'stimmt', 'du sagst es', 'sie sagen es', 'da sagst du was', 'definitiv', 'word', 'yep', 'exakt', 'genau', 'bloß', 'wehe wenn', 'wacker', 'schoen', 'bloß', 'gefaelligst', 'ja was', 'ja bitte', 'was ist denn', 'was', 'was denn', 'ja genau', 'jau', 'yeah'], 'wuerd': [], 'sag': []}
Sie waren so beschäftigt mit der Frage ob sie können, dass sie sicht nicht gefragt haben ob sie sollten.;sie waren so beschaeftigt mit der frage ob sie koennen dass sie sicht nicht gefragt haben ob sie sollten ;sie war so beschaeftigt mit der frag ob sie koenn dass sie sicht nicht gefragt hab ob sie sollt ;{'sie': ['schnalle', 'dame', 'weibliche person', 'weib', 'mutti', 'person weiblichen geschlechts', 'braut', 'weiblicher mensch', 'perle', 'vertreterin des schoenen geschlechts', 'vertreterin des weiblichen geschlechts', 'kalle', 'tante', 'frau', 'frauensperson', 'grazie', 'weibsstueck', 'weibsperson', 'weibsbild', 'lady', 'weibsen', 'tante', 'frauenzimmer', 'evastochter', 'weibliches wesen', 'eva', 'trine', 'die', 'diese', 'ebendiese', 'jene', 'diese und jene', 'selbige', 'die', 'passiv', 'die da', 'die', 'ette', 'er', 'der herr', 'das gnaedige fraeulein', 'die dame', 'wir', 'die gnaedige frau', 'du', 'ihr'], 'war': ['auf jemandes konto gehen', 'steckt hinter', 'dahinterstecken', 'waren', 'anzulasten sein', 'verantwortlich sein'], 'so': ['sofern', 'gesetzt den fall', 'unter der voraussetzung dass', 'vorausgesetzt dass', 'sollte', 'solange', 'im falle dass', 'fuer den fall dass', 'angenommen dass', 'falls', 'wenn', 'gesetzt der fall', 'vorbehaltlich', 'soweit', 'par exemple', 'oder so', 'e g', 'etwa', 'bspw', 'wie zum beispiel', 'beispielsweise', 'zum exempel', 'wie etwa', 'exemplarisch', 'und so', 'zum beispiel', 'wie', 'meinetwegen', 'nur als beispiel', 'z b', 'per exemplum', 'sagen wir mal', 'in dieser art', 'in dem stil', 'auf diese weise', 'auf diesem wege', 'derart', 'solcherart', 'dergestalt', 'so sehr', 'so was von', 'dermaßen', 'wirklich so', 'sic', 'im original', 'zur antwort geben', 'versetzen', 'antworten', 'erwidern', 'zurueckgeben', 'derart', 'in einer weise dass', 'in dieser weise', 'dahingehend', 'das mal erstes', 'jetzt aber', 'jetzetle', 'und jetzt zurueck zu', 'also', 'und jetzt zu'], 'beschaeftigt': ['taetig', 'im beschaeftigungsverhaeltnis', 'erwerbstaetig', 'in lohn und brot stehen', 'angestellt', 'in diensten', 'auf der gehaltsliste', 'sozialversicherungspflichtig beschaeftigt', 'in amt und wuerden', 'im arbeitsverhaeltnis'], 'mit': ['mittels', 'unter einsatz von', 'vermittels', 'anhand', 'per', 'unter zuhilfenahme von', 'mithilfe', 'qua', 'mit hilfe', 'ueber', 'vermittelst', 'via', 'durch', 'inklusive', 'nebst', 'inkl', 'unter einschluss von', 'eingeschlossen', 'samt', 'einschließlich', 'mitsamt', 'zusammen mit', 'glaubensschwester', 'bruder im glauben', 'glaubensgenosse', 'glaubensbruder', 'mit begleitung', 'in begleitung', 'begleitet', 'zusammen', 'nicht allein', 'als jaehrige', 'im alter von', 'enthaltend', 'haltig'], 'der': ['jener', 'solcher', 'welcher', 'dieser', 'der da', 'er', 'ihmchen'], 'frag': [], 'ob': ['oberbuergermeister', 'in welchem ausmaß', 'inwieweit', 'in welchem umfang', 'inwiefern', 'aus', 'wegen', 'halber', 'halber', 'durch'], 'koenn': [], 'dass': [], 'sicht': ['perspektive', 'ansicht', 'standpunkt', 'sichtfeld', 'blickwinkel', 'aspekt', 'warte', 'anschauungsweise', 'blickrichtung', 'sichtweise', 'anblick', 'blick', 'aussicht', 'ansicht', 'ausblick'], 'nicht': ['nicht um ein haar', 'alles andere als', 'gar nicht', 'auf keinem wege', 'auf keinen fall', 'i wo', 'mitnichten', 'unter keinen umstaenden', 'nicht im entferntesten', 'absolut nicht', 'hinten und vorne nicht', 'mitnichten und mit neffen', 'ganz und gar nicht', 'in keinerlei hinsicht', 'in keinster weise', 'so gar nicht', 'durchaus nicht', 'jetzt nicht und ueberhaupt niemals', 'nicht und niemals', 'nicht im geringsten', 'um kein haar', 'keineswegs', 'kein bisschen', 'nicht zu denken', 'keinesfalls', 'in keiner beziehung', 'partout nicht', 'ueberhaupt nicht', 'wie auch immer nicht', 'bei weitem nicht', 'egal wie man es betrachtet nicht', 'in keiner weise', 'nicht im mindesten', 'in', 'non', 'un', 'woll', 'oder nicht', 'etwa nicht', 'naech', 'nicht wahr', 'he', 'gell', 'was', 'gelle', 'oder', 'nae', 'wa', 'ja', 'gelt', 'stimmt s'], 'gefragt': ['gesucht', 'beliebt', 'nachgefragt', 'in jemandes gunst', 'gut eingefuehrt', 'auf großes interesse stoßen', 'begehrt', 'viel gekauft', 'gern gekauft', 'populaer', 'großer beliebtheit erfreuen', 'begehrt', 'attraktiv', 'gesucht', 'konjunktur haben', 'hochkonjunktur haben', 'hip', 'en vogue', 'dem zeitgeist entsprechend', 'trendy', 'in mode', 'mode sein', 'lifestyle', 'im trend liegen', 'konjunktur haben', 'zum guten ton gehoeren', 'ist das neue', 'ist der die neue', 'stylisch', 'in', 'szene', 'hoch im kurs stehen', 'angesagt', 'kultig', 'im schwange', 'trendig', 'im trend', 'aktuell', 'sexy', 'kult'], 'hab': [], 'sollt': [], '': ['linke spitze klammer', 'kleiner als zeichen', 'kleiner als', 'in den ern', 'plus', 'ueberschritten haben', 'ab', 'ueber', 'ü', 'jenseits der', 'linke eckige klammer', 'oeffnende eckige klammer', 'et zeichen', 'kaufmanns und', 'kaufmannsund', 'kaufmaennisches und', 'firmen und', 'und zeichen', 'rechte geschweifte klammer', 'schließende geschweifte klammer', 'v h', 'von hundert', 'prozent', 'pro hundert', 'schließende runde klammer', 'klammer zu', 'asteriskus', 'stern', 'sternchen', 'asterisk', 'eur', 'euronen', 'euroletten', 'euro', 'schließende eckige klammer', 'rechte eckige klammer', 'klammer auf', 'oeffnende runde klammer', 'tausendstel', 'pro tausend', 'promille', 'von tausend', 'groeßer als', 'rechte spitze klammer', 'groeßer als zeichen', 'rautenzeichen', 'lattenzaun', 'gartenzaun', 'wiederholungszeichen', 'tilde', 'at', 'klammeraffe', 'affenschwanz', 'affenschaukel', 'affenohr', 'at zeichen', 'dollar', 'in', 'inch', 'zoll', 'fuß', 'im jahre', 'in', 'anno domini', 'im jahr', 'im jahre des herrn', 'anno', 'was haeltst du von', 'gefaellig', 'moechten sie', 'wie waer s mit', 'was halten sie von', 'einfaches anfuehrungszeichen', 'halbes anfuehrungszeichen', 'paragraphenzeichen', 'paragrafenzeichen', 'ueber', 'fuer', 'hindurch', 'lang']}
Ja, die essen Brezel mit Gewürzketchup.;ja die essen brezel mit gewuerzketchup ;ja die ess brezel mit gewuerzketchup ;{'ja': ['wie', 'sowie', 'ja sogar', 'und', 'neben', 'sowohl', 'wie noch', 'plus', 'sowohl als auch', 'nebst', 'zuzueglich', 'ebenso wie', 'wie auch', 'schließlich', 'wenn sogar', 'umso mehr als', 'wo sogar', 'da ja', 'wo schließlich', 'da', 'wo doch', 'da naemlich', 'sintemalen', 'doch mit verb subj davor', 'literarisch', 'naemlich', 'umso weniger als', 'zumal da', 'zumal ja', 'umso eher als', 'denn', 'zumal', 'wo ja', 'sintemal', 'woll', 'oder nicht', 'etwa nicht', 'naech', 'nicht wahr', 'he', 'nicht', 'gell', 'was', 'gelle', 'oder', 'nae', 'wa', 'gelt', 'stimmt s', 'korrekt', 'ja genau', 'hundertprozentig', 'roger', 'da sagen sie was', 'stimmt genau', 'absolut', 'aber ja', 'aber sicher', 'positiv', 'stimmt', 'du sagst es', 'sie sagen es', 'da sagst du was', 'definitiv', 'word', 'yep', 'exakt', 'genau', 'bloß', 'wehe wenn', 'wacker', 'schoen', 'bloß', 'gefaelligst', 'ja was', 'ja bitte', 'was ist denn', 'was', 'was denn', 'ja genau', 'jau', 'yeah'], 'die': ['fuer jede', 'per', 'à', 'das', 'fuer', 'je', 'pro', 'zu je', 'mikrochip', 'integrated circuit', 'integrierte schaltung', 'ic', 'integrierter schaltkreis', 'microchip', 'festkoerperschaltkreis', 'monolithischer schaltkreis', 'chip', 'diese', 'ebendiese', 'sie', 'jene', 'diese und jene', 'selbige', 'passiv', 'sie', 'sie', 'die da', 'ette'], 'ess': [], 'brezel': ['brezn', 'kringel', 'bretzel', 'breze'], 'mit': ['mittels', 'unter einsatz von', 'vermittels', 'anhand', 'per', 'unter zuhilfenahme von', 'mithilfe', 'qua', 'mit hilfe', 'ueber', 'vermittelst', 'via', 'durch', 'inklusive', 'nebst', 'inkl', 'unter einschluss von', 'eingeschlossen', 'samt', 'einschließlich', 'mitsamt', 'zusammen mit', 'glaubensschwester', 'bruder im glauben', 'glaubensgenosse', 'glaubensbruder', 'mit begleitung', 'in begleitung', 'begleitet', 'zusammen', 'nicht allein', 'als jaehrige', 'im alter von', 'enthaltend', 'haltig'], 'gewuerzketchup': [], '': ['linke spitze klammer', 'kleiner als zeichen', 'kleiner als', 'in den ern', 'plus', 'ueberschritten haben', 'ab', 'ueber', 'ü', 'jenseits der', 'linke eckige klammer', 'oeffnende eckige klammer', 'et zeichen', 'kaufmanns und', 'kaufmannsund', 'kaufmaennisches und', 'firmen und', 'und zeichen', 'rechte geschweifte klammer', 'schließende geschweifte klammer', 'v h', 'von hundert', 'prozent', 'pro hundert', 'schließende runde klammer', 'klammer zu', 'asteriskus', 'stern', 'sternchen', 'asterisk', 'eur', 'euronen', 'euroletten', 'euro', 'schließende eckige klammer', 'rechte eckige klammer', 'klammer auf', 'oeffnende runde klammer', 'tausendstel', 'pro tausend', 'promille', 'von tausend', 'groeßer als', 'rechte spitze klammer', 'groeßer als zeichen', 'rautenzeichen', 'lattenzaun', 'gartenzaun', 'wiederholungszeichen', 'tilde', 'at', 'klammeraffe', 'affenschwanz', 'affenschaukel', 'affenohr', 'at zeichen', 'dollar', 'in', 'inch', 'zoll', 'fuß', 'im jahre', 'in', 'anno domini', 'im jahr', 'im jahre des herrn', 'anno', 'was haeltst du von', 'gefaellig', 'moechten sie', 'wie waer s mit', 'was halten sie von', 'einfaches anfuehrungszeichen', 'halbes anfuehrungszeichen', 'paragraphenzeichen', 'paragrafenzeichen', 'ueber', 'fuer', 'hindurch', 'lang']}
