index_number,x1,x2,x3,x4,y
63233,-1.025,0.6,0.7,0.15,2.5377702
63234,-0.95,0.6,0.7,0.15,2.36457015
63235,-0.875,0.6,0.7,0.15,2.20247295
63236,-0.8,0.6,0.7,0.15,2.05186194
63237,-0.773333,0.6,0.7,0.15,2.00111499
63238,-0.746667,0.6,0.7,0.15,1.95183894
63239,-0.72,0.6,0.7,0.15,1.90402083
63240,-0.693333,0.6,0.7,0.15,1.85763975
63241,-0.666667,0.6,0.7,0.15,1.81266267
63242,-0.64,0.6,0.7,0.15,1.76904648
63243,-0.613333,0.6,0.7,0.15,1.72673436
63244,-0.586667,0.6,0.7,0.15,1.68565815
63245,-0.56,0.6,0.7,0.15,1.64573598
63246,-0.533333,0.6,0.7,0.15,1.60687338
63247,-0.506667,0.6,0.7,0.15,1.56896499
63248,-0.48,0.6,0.7,0.15,1.53189336
63249,-0.453333,0.6,0.7,0.15,1.49553306
63250,-0.426667,0.6,0.7,0.15,1.45975026
63251,-0.4,0.6,0.7,0.15,1.42440741
63252,-0.373333,0.6,0.7,0.15,1.3893642
63253,-0.346667,0.6,0.7,0.15,1.35448317
63254,-0.32,0.6,0.7,0.15,1.31963157
63255,-0.293333,0.6,0.7,0.15,1.28468814
63256,-0.266667,0.6,0.7,0.15,1.24954584
63257,-0.24,0.6,0.7,0.15,1.21411734
63258,-0.213333,0.6,0.7,0.15,1.17833964
63259,-0.186667,0.6,0.7,0.15,1.14217497
63260,-0.16,0.6,0.7,0.15,1.10561376
63261,-0.133333,0.6,0.7,0.15,1.06867302
63262,-0.106667,0.6,0.7,0.15,1.03139472
63263,-0.08,0.6,0.7,0.15,0.99384321
63298,-1.025,0.6,0.8,0.15,2.54288211
63299,-0.95,0.6,0.8,0.15,2.3701302
63300,-0.875,0.6,0.8,0.15,2.20841133
63301,-0.8,0.6,0.8,0.15,2.0580054
63302,-0.773333,0.6,0.8,0.15,2.00726223
63303,-0.746667,0.6,0.8,0.15,1.95794268
63304,-0.72,0.6,0.8,0.15,1.91002686
63305,-0.693333,0.6,0.8,0.15,1.86348735
63306,-0.666667,0.6,0.8,0.15,1.81828554
63307,-0.64,0.6,0.8,0.15,1.77437397
63308,-0.613333,0.6,0.8,0.15,1.73169321
63309,-0.586667,0.6,0.8,0.15,1.69017444
63310,-0.56,0.6,0.8,0.15,1.64973732
63311,-0.533333,0.6,0.8,0.15,1.61029143
63312,-0.506667,0.6,0.8,0.15,1.57173813
63313,-0.48,0.6,0.8,0.15,1.53396936
63314,-0.453333,0.6,0.8,0.15,1.49687166
63315,-0.426667,0.6,0.8,0.15,1.46032548
63316,-0.4,0.6,0.8,0.15,1.42420977
63317,-0.373333,0.6,0.8,0.15,1.3884021
63318,-0.346667,0.6,0.8,0.15,1.35278388
63319,-0.32,0.6,0.8,0.15,1.31724114
63320,-0.293333,0.6,0.8,0.15,1.28167029
63321,-0.266667,0.6,0.8,0.15,1.24597968
63322,-0.24,0.6,0.8,0.15,1.21009377
63323,-0.213333,0.6,0.8,0.15,1.17395709
63324,-0.186667,0.6,0.8,0.15,1.13753439
63325,-0.16,0.6,0.8,0.15,1.10081388
63326,-0.133333,0.6,0.8,0.15,1.06380624
63327,-0.106667,0.6,0.8,0.15,1.02654414
63328,-0.08,0.6,0.8,0.15,0.98908077
63363,-1.025,0.6,0.9,0.15,2.54835273
63364,-0.95,0.6,0.9,0.15,2.37600279
63365,-0.875,0.6,0.9,0.15,2.21458383
63366,-0.8,0.6,0.9,0.15,2.06427426
63367,-0.773333,0.6,0.9,0.15,2.01349161
63368,-0.746667,0.6,0.9,0.15,1.96408497
63369,-0.72,0.6,0.9,0.15,1.91602902
63370,-0.693333,0.6,0.9,0.15,1.86929166
63371,-0.666667,0.6,0.9,0.15,1.82383056
63372,-0.64,0.6,0.9,0.15,1.77959583
63373,-0.613333,0.6,0.9,0.15,1.73652708
63374,-0.586667,0.6,0.9,0.15,1.69455618
63375,-0.56,0.6,0.9,0.15,1.65360543
63376,-0.533333,0.6,0.9,0.15,1.61358906
63377,-0.506667,0.6,0.9,0.15,1.57441506
63378,-0.48,0.6,0.9,0.15,1.53598404
63379,-0.453333,0.6,0.9,0.15,1.49819313
63380,-0.426667,0.6,0.9,0.15,1.46093502
63381,-0.4,0.6,0.9,0.15,1.42410237
63382,-0.373333,0.6,0.9,0.15,1.38758739
63383,-0.346667,0.6,0.9,0.15,1.35128664
63384,-0.32,0.6,0.9,0.15,1.31510115
63385,-0.293333,0.6,0.9,0.15,1.27894149
63386,-0.266667,0.6,0.9,0.15,1.24272837
63387,-0.24,0.6,0.9,0.15,1.2063963
63388,-0.213333,0.6,0.9,0.15,1.16989668
63389,-0.186667,0.6,0.9,0.15,1.13319762
63390,-0.16,0.6,0.9,0.15,1.09628733
63391,-0.133333,0.6,0.9,0.15,1.05917316
63392,-0.106667,0.6,0.9,0.15,1.02188181
63393,-0.08,0.6,0.9,0.15,0.98445882
63428,-1.025,0.6,1.0,0.15,2.55412215
63429,-0.95,0.6,1.0,0.15,2.38212045
63430,-0.875,0.6,1.0,0.15,2.22092151
63431,-0.8,0.6,1.0,0.15,2.07060867
63432,-0.773333,0.6,1.0,0.15,2.01974955
63433,-0.746667,0.6,1.0,0.15,1.97021979
63434,-0.72,0.6,1.0,0.15,1.92199002
63435,-0.693333,0.6,1.0,0.15,1.87502493
63436,-0.666667,0.6,1.0,0.15,1.82927991
63437,-0.64,0.6,1.0,0.15,1.78470387
63438,-0.613333,0.6,1.0,0.15,1.74123657
63439,-0.586667,0.6,1.0,0.15,1.69881159
63440,-0.56,0.6,1.0,0.15,1.65735438
63441,-0.533333,0.6,1.0,0.15,1.61678394
63442,-0.506667,0.6,1.0,0.15,1.57701462
63443,-0.48,0.6,1.0,0.15,1.53795498
63444,-0.453333,0.6,1.0,0.15,1.49951139
63445,-0.426667,0.6,1.0,0.15,1.46158716
63446,-0.4,0.6,1.0,0.15,1.42408641
63447,-0.373333,0.6,1.0,0.15,1.38691362
63448,-0.346667,0.6,1.0,0.15,1.34997774
63449,-0.32,0.6,1.0,0.15,1.31319207
63450,-0.293333,0.6,1.0,0.15,1.27647873
63451,-0.266667,0.6,1.0,0.15,1.23976872
63452,-0.24,0.6,1.0,0.15,1.20300501
63453,-0.213333,0.6,1.0,0.15,1.16614518
63454,-0.186667,0.6,1.0,0.15,1.12916109
63455,-0.16,0.6,1.0,0.15,1.09204191
63456,-0.133333,0.6,1.0,0.15,1.05479349
63457,-0.106667,0.6,1.0,0.15,1.01743896
63458,-0.08,0.6,1.0,0.15,0.98001825
63493,-1.025,0.6,1.1,0.15,2.56013796
63494,-0.95,0.6,1.1,0.15,2.38842699
63495,-0.875,0.6,1.1,0.15,2.22737058
63496,-0.8,0.6,1.1,0.15,2.07696564
63497,-0.773333,0.6,1.1,0.15,2.02599891
63498,-0.746667,0.6,1.1,0.15,1.97631675
63499,-0.72,0.6,1.1,0.15,1.92788688
63500,-0.693333,0.6,1.1,0.15,1.8806718
63501,-0.666667,0.6,1.1,0.15,1.83462564
63502,-0.64,0.6,1.1,0.15,1.78969719
63503,-0.613333,0.6,1.1,0.15,1.74582705
63504,-0.586667,0.6,1.1,0.15,1.70295099
63505,-0.56,0.6,1.1,0.15,1.66099791
63506,-0.533333,0.6,1.1,0.15,1.61989149
63507,-0.506667,0.6,1.1,0.15,1.57955211
63508,-0.48,0.6,1.1,0.15,1.53989544
63509,-0.453333,0.6,1.1,0.15,1.50083613
63510,-0.426667,0.6,1.1,0.15,1.46228658
63511,-0.4,0.6,1.1,0.15,1.42416078
63512,-0.373333,0.6,1.1,0.15,1.38637344
63513,-0.346667,0.6,1.1,0.15,1.34884398
63514,-0.32,0.6,1.1,0.15,1.31149584
63515,-0.293333,0.6,1.1,0.15,1.2742608
63516,-0.266667,0.6,1.1,0.15,1.23707847
63517,-0.24,0.6,1.1,0.15,1.19989905
63518,-0.213333,0.6,1.1,0.15,1.16268573
63519,-0.186667,0.6,1.1,0.15,1.12541394
63520,-0.16,0.6,1.1,0.15,1.0880745
63521,-0.133333,0.6,1.1,0.15,1.05067284
63522,-0.106667,0.6,1.1,0.15,1.01322975
63523,-0.08,0.6,1.1,0.15,0.97578147
63558,-1.025,0.6,1.2,0.15,2.56635468
63559,-0.95,0.6,1.2,0.15,2.39487606
63560,-0.875,0.6,1.2,0.15,2.23388919
63561,-0.8,0.6,1.2,0.15,2.08331436
63562,-0.773333,0.6,1.2,0.15,2.03221422
63563,-0.746667,0.6,1.2,0.15,1.98235614
63564,-0.72,0.6,1.2,0.15,1.9337058
63565,-0.693333,0.6,1.2,0.15,1.88622447
63566,-0.666667,0.6,1.2,0.15,1.83986574
63567,-0.64,0.6,1.2,0.15,1.79457885
63568,-0.613333,0.6,1.2,0.15,1.75030587
63569,-0.586667,0.6,1.2,0.15,1.70698494
63570,-0.56,0.6,1.2,0.15,1.66454853
63571,-0.533333,0.6,1.2,0.15,1.62292485
63572,-0.506667,0.6,1.2,0.15,1.58203986
63573,-0.48,0.6,1.2,0.15,1.54181565
63574,-0.453333,0.6,1.2,0.15,1.50217422
63575,-0.426667,0.6,1.2,0.15,1.46303589
63576,-0.4,0.6,1.2,0.15,1.42432314
