index_number,x1,x2,x3,x4,y
16098,0.433333,0.9,0.7,0.1,0.50433892
16099,0.466667,0.9,0.7,0.1,0.47151796
16100,0.5,0.9,0.7,0.1,0.43846022
16101,0.533333,0.9,0.7,0.1,0.40511712
16102,0.566667,0.9,0.7,0.1,0.37146422
16103,0.6,0.9,0.7,0.1,0.33749194
16104,0.633333,0.9,0.7,0.1,0.30320312
16105,0.666667,0.9,0.7,0.1,0.26860678
16106,0.7,0.9,0.7,0.1,0.2337152
16107,0.733333,0.9,0.7,0.1,0.198543122
16108,0.766667,0.9,0.7,0.1,0.163100448
16109,0.8,0.9,0.7,0.1,0.127411362
16110,0.833333,0.9,0.7,0.1,0.091474976
16111,0.866667,0.9,0.7,0.1,0.05531065
16112,0.9,0.9,0.7,0.1,0.018944645
16113,0.933333,0.9,0.7,0.1,-0.017647386
16114,0.966667,0.9,0.7,0.1,-0.05442942
16115,1.0,0.9,0.7,0.1,-0.091385954
16117,-1.05,0.9,0.8,0.1,2.041077
16118,-1.0,0.9,0.8,0.1,1.98540466
16119,-0.966667,0.9,0.8,0.1,1.9484997
16120,-0.933333,0.9,0.8,0.1,1.91177052
16121,-0.9,0.9,0.8,0.1,1.87522068
16122,-0.866667,0.9,0.8,0.1,1.83885534
16123,-0.833333,0.9,0.8,0.1,1.80267866
16124,-0.8,0.9,0.8,0.1,1.7666949
16125,-0.766667,0.9,0.8,0.1,1.73090588
16126,-0.733333,0.9,0.8,0.1,1.695314
16127,-0.7,0.9,0.8,0.1,1.65991978
16128,-0.666667,0.9,0.8,0.1,1.62472248
16129,-0.633333,0.9,0.8,0.1,1.58971734
16130,-0.6,0.9,0.8,0.1,1.55489858
16131,-0.566667,0.9,0.8,0.1,1.52025648
16132,-0.533333,0.9,0.8,0.1,1.48577816
16133,-0.5,0.9,0.8,0.1,1.45144508
16134,-0.466667,0.9,0.8,0.1,1.41723646
16135,-0.433333,0.9,0.8,0.1,1.383127
16136,-0.4,0.9,0.8,0.1,1.34908904
16137,-0.366667,0.9,0.8,0.1,1.31509358
16138,-0.333333,0.9,0.8,0.1,1.28111226
16139,-0.3,0.9,0.8,0.1,1.24711964
16140,-0.266667,0.9,0.8,0.1,1.21309464
16141,-0.233333,0.9,0.8,0.1,1.1790221
16142,-0.2,0.9,0.8,0.1,1.1448935
16143,-0.166667,0.9,0.8,0.1,1.11070654
16144,-0.133333,0.9,0.8,0.1,1.07646474
16145,-0.1,0.9,0.8,0.1,1.04217672
16146,-0.066667,0.9,0.8,0.1,1.00785502
16147,-0.033333,0.9,0.8,0.1,0.97351556
16148,0.0,0.9,0.8,0.1,0.93917722
16149,0.033333,0.9,0.8,0.1,0.9048615
16150,0.066667,0.9,0.8,0.1,0.8705927
16151,0.1,0.9,0.8,0.1,0.83639838
16152,0.133333,0.9,0.8,0.1,0.80230968
16153,0.166667,0.9,0.8,0.1,0.76836154
16154,0.2,0.9,0.8,0.1,0.73458868
16155,0.233333,0.9,0.8,0.1,0.70102124
16156,0.266667,0.9,0.8,0.1,0.6676809
16157,0.3,0.9,0.8,0.1,0.6345723
16158,0.333333,0.9,0.8,0.1,0.60167078
16159,0.366667,0.9,0.8,0.1,0.56891556
